geneID	Glc1	Glc2	Glc3	Lac1	Lac2	Lac3	LNT1	LNT2	LNT3	XGL1	XGL2	XGL3
BcK1E1_00620	2829.001178873281	2630.9988898698393	2362.9974739207323	2968.0014548071044	3446.9987761737016	3106.9985120284514	2331.9984482484087	3005.9988734064304	2397.999239407092	2882.002911054225	2586.997659473194	3782.0012295889546
BcK1E1_00621	6074.009651040886	4877.999909873862	4900.9997313087715	5132.996166248967	5598.997553422798	5141.0017021469785	4720.996012038983	6002.004672657022	5090.009241497316	4903.010110235283	4465.9911534884695	5800.998366771951
BcK1E1_00622	23412.00955809141	18941.981085698608	18292.00533495145	18449.987680896036	20427.023565424723	19255.00595360559	18084.993446224322	24728.976473620834	23338.995662881865	19523.024154656567	17036.99303551809	20977.983708689142
BcK1E1_00623	1175.000011554574	1523.0008720862947	995.9992000414459	1373.9995106141305	1528.9989331928002	1504.9996365303098	1454.000040221928	2070.0001494354597	1437.9995505275074	1503.0006377506118	1270.0000454538313	1635.0000494501949
BcK1E1_00624	1.0000057216283798	3.000011774533227	2.000003558100398	2.0000003110935074	1.000003255189737	2.0000051138388133	5.000011071388726	1.0000023663602773	3.000005664982072	6.000014775754487	7.000013670254521	2.0000047906257996
BcK1E1_00625	1219.0041730300918	1030.0021354859682	1011.9994349121164	1838.9952593094947	2270.0040287310853	2012.0023454229486	1664.9960806241204	1810.9971110141626	2171.9992299609744	1680.99754514378	1560.9984647600427	1865.9960063542837
BcK1E1_00626	37.999953656261305	47.000035935270574	43.99993910444353	83.99997108188408	55.99991090352201	62.00011828466118	35.999966824228366	75.99991673707117	66.99996385872714	42.99995601893995	45.99991475956734	59.000062120564884
BcK1E1_00627	116.99967902084786	149.99975566698862	129.99948253700674	110.00000195243723	144.00000567871385	127.00008194399888	98.99999435423696	139.9999117613771	113.9999376329682	134.9994568097059	102.99996643445826	170.00052638981867
BcK1E1_00628	62.000021668356936	53.99987560959271	50.999896547166784	55.99996202059857	47.999890721753204	48.00002737954056	49.99998419626195	45.999858186071386	35.999888190288196	52.00000610677769	44.99994883310931	48.999991048462554
BcK1E1_00629	8.000020104168982	3.9999994121956224	10.000010659881232	8.99996422164873	11.99997235045233	8.000027907556397	4.9999950070123544	4.999997573348758	10.999966566221323	6.0000006668746035	8.000006087917338	6.99996605051281
BcK1E1_00630	91.00020554196375	113.00021039236323	64.99990977470478	89.99992636698713	102.99982315216057	83.0000202072081	58.000016128453865	83.00008513170958	87.99990081001508	83.000006130738	73.9998082414659	91.00014808323694
BcK1E1_00631	99.99988315625043	95.99990845432879	88.99988762248518	86.00001104468873	93.0000529089013	79.0000302110391	88.00026299131643	70.00002876798038	90.99999064064058	82.00005331061118	82.99999182741945	103.00001047272028
BcK1E1_00632	45.000044878268284	50.00001965903522	20.999972130648327	27.000045068246983	41.99998526674984	37.000085807670985	29.99996836752225	37.00000208621997	41.99995934534143	34.999975943497276	20.99996797006638	25.999921370083463
BcK1E1_00633	64.99999098373925	78.99993411029288	69.00010937104592	63.00029170514344	67.99997461499196	58.00000402433134	46.9999922283799	45.000029208275116	53.9999898812105	67.00013770491769	71.99973325870681	71.00017547594027
BcK1E1_00634	98.00000337536677	105.00005998185979	97.9998366037615	69.9999217868868	81.00022554111277	70.00023347942845	56.00000649996726	72.00015017239382	79.99994039952675	116.0000223323498	109.00000771885878	116.99997329822061
BcK1E1_00635	43.00003687345945	39.00008564819855	20.000053467001113	25.999977293789215	20.999988224017937	24.000007121022307	23.000093205723285	23.99998948317159	22.999999230981715	36.00007738906368	24.000023201690453	39.00003526513511
BcK1E1_00636	52.0000361810421	43.00001490213341	59.99993478992259	50.00000434971579	61.99995772709125	36.99996379890871	46.99998446759204	70.00004575142702	53.999952758003694	54.99995798921519	60.00002401117169	76.99993919153638
BcK1E1_00637	1684.0007673919777	1227.9995486615462	1365.9982363813215	1581.9989997578223	1783.999706326496	1662.9989588908177	1762.9999365675005	2081.9990252509688	2261.9997848229173	1410.0012882761175	1584.0013738700545	1594.9992169803722
