locus_tag	seed_id
BcK1E1_01590	fig|630129.38.peg.1618
BcK1E1_00679	fig|630129.38.peg.688
BcK1E1_01480	fig|630129.38.peg.1504
BcK1E1_00496	fig|630129.38.peg.504
BcK1E1_01330	fig|630129.38.peg.1345
BcK1E1_01290	fig|630129.38.peg.1302
BcK1E1_00982	fig|630129.38.peg.998
BcK1E1_00286	fig|630129.38.peg.296
BcK1E1_01390	fig|630129.38.peg.1411
BcK1E1_01230	fig|630129.38.peg.1242
BcK1E1_00386	fig|630129.38.peg.394
BcK1E1_01184	fig|630129.38.peg.1201
BcK1E1_00436	fig|630129.38.peg.446
BcK1E1_00989	fig|630129.38.peg.1006
BcK1E1_00300	fig|630129.38.peg.310
BcK1E1_01253	fig|630129.38.peg.1264
BcK1E1_00251	fig|630129.38.peg.263
BcK1E1_00660	fig|630129.38.peg.670
BcK1E1_01066	fig|630129.38.peg.1082
BcK1E1_01353	fig|630129.38.peg.1372
BcK1E1_00200	fig|630129.38.peg.210
BcK1E1_01574	fig|630129.38.peg.1601
BcK1E1_01760	fig|630129.38.peg.1792
BcK1E1_01406	fig|630129.38.peg.1427
BcK1E1_01046	fig|630129.38.peg.1064
BcK1E1_00640	fig|630129.38.peg.649
BcK1E1_01772	fig|630129.38.peg.1803
BcK1E1_01016	fig|630129.38.peg.1033
BcK1E1_01274	fig|630129.38.peg.1285
BcK1E1_00610	fig|630129.38.peg.620
BcK1E1_00500	fig|630129.38.peg.508
BcK1E1_00836	fig|630129.38.peg.850
BcK1E1_01880	fig|630129.38.peg.1922
BcK1E1_01740	fig|630129.38.peg.1773
BcK1E1_00551	fig|630129.38.peg.561
BcK1E1_01553	fig|630129.38.peg.1579
BcK1E1_01710	fig|630129.38.peg.1741
BcK1E1_00176	fig|630129.38.peg.185
BcK1E1_00672	fig|630129.38.peg.681
BcK1E1_00896	fig|630129.38.peg.913
BcK1E1_01374	fig|630129.38.peg.1393
BcK1E1_00314	fig|630129.38.peg.322
BcK1E1_01502	fig|630129.38.peg.1527
BcK1E1_01729	fig|630129.38.peg.1760
BcK1E1_00344	fig|630129.38.peg.355
